Sp_Class  ,  u_mag  ,  g_mag  ,  r_mag  ,  i_mag  ,  z_mag ,RA,Dec
DA           ,18.227,18.139,18.507,18.764,19.066,1.904924,-9.10816
DA_auto      ,18.67,18.33,18.362,18.476,18.669,1.908491,0.667587
DQ           ,19.308,18.969,18.931,19.019,19.021,2.031419,-10.568212
DA_auto      ,17.061,17.118,17.503,17.82,18.126,2.443556,14.719624
DA           ,20.424,20.136,20.281,20.477,20.726,2.540419,-9.224595
DA           ,18.968,18.503,18.561,18.707,18.886,2.661601,-0.544884
DA_auto      ,19.855,19.313,19.295,19.375,19.491,2.672334,1.012022
DA           ,19.394,18.927,18.783,18.763,18.775,2.67916,-0.899896
DA           ,20.115,19.514,19.601,19.81,20.024,2.746855,-9.388491
DA_auto      ,20.339,19.876,19.929,20.121,20.255,2.75602,0.73766
DA_auto      ,20.933,20.334,20.596,20.858,20.995,2.787144,0.395791
DA_auto      ,19.617,19.373,19.63,20.012,20.451,2.791692,-0.256381
DA_auto      ,19.142,19.239,19.61,19.909,20.157,2.801747,15.869309
DA           ,19.032,19.378,19.868,20.199,20.445,2.905504,-10.419211
DA           ,18.073,17.725,17.891,18.137,18.352,2.950829,-9.35286
DA:          ,20.606,20.275,20.228,20.447,20.297,3.015581,-10.358655
DB           ,19.798,19.912,20.237,20.513,21.013,3.025119,-10.501412
DA           ,19.326,18.949,18.929,19.02,19.233,3.083242,-9.765444
DA_auto      ,18.79,18.152,18.271,18.417,18.668,3.190031,14.66567
DA+M         ,20.734,20.217,19.664,18.635,17.965,3.196598,0.180235
DA+M         ,20.734,20.217,19.664,18.635,17.965,3.196598,0.180235
DA           ,19.299,18.911,18.854,18.909,19.12,3.224669,-1.013923
DA           ,19.299,18.911,18.854,18.909,19.12,3.224669,-1.013923
DA_auto      ,19.843,19.389,19.424,19.59,19.641,3.275967,0.918447
DA           ,19.355,19.112,19.41,19.714,19.854,3.32222,-9.816856
WD:+M        ,19.693,19.733,19.665,19.075,18.565,3.351389,-8.839295
DA           ,15.754,15.366,15.433,15.501,15.686,3.413322,0.323419
DA           ,15.754,15.366,15.433,15.501,15.686,3.413322,0.323419
DA           ,15.754,15.366,15.433,15.501,15.686,3.413322,0.323419
DA           ,15.754,15.366,15.433,15.501,15.686,3.413322,0.323419
DA_auto      ,19.596,19.601,19.904,20.214,20.368,3.554293,0.585529
DA           ,18.738,18.302,18.346,18.468,18.793,3.564969,-10.584971
DA_auto      ,18.728,18.322,18.322,18.391,18.525,3.612695,13.84956
DA_auto      ,19.431,19.002,19.043,19.148,19.431,3.674789,-0.76682
DA           ,19.324,18.903,18.926,18.959,19.077,3.703458,0.340932
DA           ,19.324,18.903,18.926,18.959,19.077,3.703458,0.340932
DA_auto      ,17.699,17.27,17.243,17.314,17.435,3.828671,13.892466
DB           ,18.711,18.938,19.419,19.73,20.092,3.873926,1.089256
DA+M         ,21.23,20.866,20.608,19.851,19.273,3.95426,1.160365
DA_auto      ,20.673,20.336,20.051,20.135,20.041,3.954939,1.111358
DA           ,18.679,18.235,18.291,18.4,18.493,3.983649,-0.087593
DA_auto      ,19.653,19.491,19.776,20.11,20.312,4.020732,-1.107497
DA_auto      ,20.152,19.664,19.575,19.525,19.612,4.072995,-0.550462
DA_auto      ,18.692,18.25,18.263,18.326,18.516,4.121066,-0.747513
DA_auto      ,18.863,18.469,18.405,18.395,18.563,4.180671,15.403023
PG1159       ,16.045,16.57,17.041,17.372,17.808,4.21422,-1.224833
DA_auto      ,19.5,18.975,19.12,19.229,19.477,4.227823,15.242258
DA_auto      ,18.003,17.671,17.928,18.171,18.469,4.231319,-0.93459
DC           ,19.269,19.056,19.179,19.354,19.486,4.236584,-0.026758
DA_auto      ,19.469,19.11,19.265,19.469,19.566,4.315944,1.2198
DA+M         ,19.678,19.29,19.028,18.187,17.542,4.360982,-0.414225
DA+M         ,19.678,19.29,19.028,18.187,17.542,4.360982,-0.414225
DA           ,18.912,18.922,19.272,19.529,19.702,4.377565,0.706794
DA           ,19.215,19.155,19.48,19.782,20.246,4.387237,-9.782463
DC           ,18.798,18.33,17.861,17.562,17.28,4.40377,14.850521
DA_auto      ,19.278,19.208,19.513,19.864,20.103,4.440764,-0.677933
DA_auto      ,19.476,18.972,19.12,19.292,19.469,4.446498,15.867901
DA+M         ,16.565,16.865,17.034,16.781,16.471,4.455178,-0.165436
DA+M         ,16.565,16.865,17.034,16.781,16.471,4.455178,-0.165436
DB           ,19.741,19.929,20.185,20.432,20.499,4.485509,-9.242571
DA_auto      ,19.942,19.501,19.588,19.77,19.994,4.571003,14.916798
DA_auto      ,17.823,17.374,17.538,17.73,17.954,4.650641,0.530953
DA_auto      ,19.59,19.614,19.914,20.236,21.105,4.660607,0.99542
DZ           ,18.527,18.376,18.445,18.606,18.858,4.705988,-0.201308
DZ           ,18.527,18.376,18.445,18.606,18.858,4.705988,-0.201308
DC:          ,18.343,18.02,17.988,18.02,18.151,4.784007,14.240787
DA_auto      ,19.595,19.161,19.012,19.057,19.206,4.840363,14.684805
DA_auto      ,19.85,19.466,19.443,19.511,19.634,4.866059,-1.15086
DA           ,20.013,20.08,20.505,20.88,22.254,4.95256,0.282594
DBA          ,15.077,15.199,15.528,15.813,16.079,5.007512,13.880001
DA           ,20.196,19.643,19.335,19.324,19.345,5.028289,0.804984
DA           ,19.207,18.624,18.464,18.368,18.439,5.167081,0.185101
DA           ,19.207,18.624,18.464,18.368,18.439,5.167081,0.185101
DA           ,19.207,18.624,18.464,18.368,18.439,5.167081,0.185101
DA           ,17.035,16.797,16.739,16.776,16.94,5.205967,0.742983
DA           ,17.035,16.797,16.739,16.776,16.94,5.205967,0.742983
DA           ,17.035,16.797,16.739,16.776,16.94,5.205967,0.742983
DA_auto      ,19.149,18.76,19.051,19.379,19.595,5.279306,-0.504753
DA_auto      ,19.625,19.157,19.256,19.412,19.429,5.289742,-0.422013
DA_auto      ,18.875,18.881,19.228,19.526,19.722,5.342249,0.291662
DA_auto      ,18.875,18.881,19.228,19.526,19.722,5.342249,0.291662
DA           ,18.476,18.331,18.621,18.887,19.049,5.36121,-9.620598
DC           ,18.689,18.177,17.973,17.93,17.992,5.369162,15.039947
DB           ,19.963,20.077,20.411,20.642,20.954,5.460736,-0.941654
DB           ,18.659,18.763,18.945,19.245,19.394,5.510356,-0.637416
DA           ,19.907,19.768,20.067,20.267,20.569,5.531893,-10.239877
DA_auto      ,19.547,19.1,19.286,19.458,19.625,5.560504,1.089278
DA_auto      ,19.623,19.897,20.327,20.572,20.57,5.599721,-0.056709
DA           ,19.711,19.229,19.613,19.826,19.993,5.618547,0.52099
DA_auto      ,19.243,18.864,19.075,19.261,19.43,5.663585,-0.395068
DB           ,19.804,19.865,20.124,20.449,20.507,5.696286,15.475548
DA_auto      ,20.6,20.148,20.127,20.119,20.428,5.763261,-0.798817
DA           ,20.526,20.272,20.535,20.906,20.614,5.773195,-10.327655
DA_auto      ,16.56,16.277,16.558,16.852,17.073,5.787723,-0.561672
DA:          ,18.939,18.826,18.942,19.108,19.195,5.843523,15.003239
DA_auto      ,20.163,19.799,19.966,20.149,20.28,5.904192,15.908038
DA           ,17.507,17.475,17.8,18.076,18.41,6.126121,-9.148595
DA_auto      ,19.073,19.012,19.421,19.658,19.866,6.196473,15.243046
DA_auto      ,19.998,19.613,19.611,19.692,19.835,6.211402,0.319706
DA           ,19.74,19.327,19.542,19.767,20.145,6.22902,-11.128698
DA           ,19.761,19.466,19.748,20.055,19.951,6.289275,-10.680066
DA           ,18.328,17.924,18.095,18.255,18.436,6.318523,-9.877392
DQ           ,18.155,18.015,18.004,18.128,18.314,6.381238,-11.133574
DA           ,19.418,19.72,20.098,20.455,20.701,6.394741,-10.407381
DA_auto      ,19.251,18.889,19.051,19.237,19.538,6.433127,15.759036
DA           ,18.729,18.361,18.579,18.808,19.155,6.436395,-9.460878
DA_auto      ,18.865,19.123,19.523,19.819,20.058,6.441478,16.243072
DA           ,19.656,19.181,19.156,19.135,19.392,6.487111,-9.541986
DA           ,20.041,19.521,19.671,19.902,20.15,6.500962,-10.132135
DA           ,16.743,16.207,16.257,16.326,16.499,6.509544,-10.631079
DA           ,20.015,20.038,20.335,20.577,20.517,6.581373,-9.186331
DA+M         ,17.567,17.347,17.339,16.652,16.042,6.585031,14.73595
DA_auto      ,20.081,19.638,19.552,19.585,19.483,6.638311,-0.375069
DB           ,18.857,18.928,19.24,19.571,19.808,6.64119,0.907177
DA_auto      ,        ,        ,        ,        ,        ,6.64332,35.56039
DA           ,18.045,17.931,18.279,18.563,18.851,6.652018,-10.058475
DB           ,        ,        ,        ,        ,        ,6.66444,-0.10852
DB           ,        ,        ,        ,        ,        ,6.66444,-0.10852
DA_auto      ,20.63,20.366,20.456,20.758,20.519,6.680576,-0.755069
DA           ,17.905,17.486,17.386,17.412,17.484,6.689737,-0.42552
DA           ,17.905,17.486,17.386,17.412,17.484,6.689737,-0.42552
DA_auto      ,20.434,20.017,20.262,20.468,20.61,6.707707,0.89349
DA+M         ,21.032,20.042,19.188,18.361,17.88,6.854404,-0.739813
DA_auto      ,20.053,19.954,20.296,20.618,20.97,6.948775,1.112555
DB+M         ,18.376,18.173,17.911,17.087,16.451,6.958386,-0.173194
DA+M         ,19.446,19.386,19.383,18.629,18.07,7.006989,0.36048
DA_auto      ,18.955,18.414,18.813,19.064,19.29,7.013913,-0.203731
DA           ,20.136,19.751,19.732,19.77,19.868,7.021438,14.387367
DA           ,17.457,17.559,17.938,18.227,18.528,7.027086,1.02
DA:          ,20.796,20.442,20.444,20.412,21.158,7.05942,15.025017
DA           ,20.932,20.351,20.373,20.39,20.671,7.210683,15.652755
DA:+M        ,21.248,20.686,20.052,19.071,18.423,7.293235,14.219552
DA           ,20.569,20.024,19.909,19.867,19.949,7.328021,16.218233
DA           ,20.245,20.118,20.366,20.642,21.014,7.353212,13.790608
DA           ,18.9,18.47,18.535,18.659,18.803,7.356763,0.26465
DA           ,20.554,20.083,20.251,20.434,21.382,7.41698,15.156131
DA           ,18.849,18.343,18.357,18.422,18.572,7.427006,-11.170405
DA_auto      ,20.148,19.733,19.77,19.881,19.874,7.500138,-0.460819
DBAZ         ,17.294,17.408,17.709,17.921,18.18,7.513473,15.441485
DC           ,19.917,19.585,19.617,19.794,19.917,7.567266,14.868222
DA           ,18.136,18.14,18.5,18.793,19.176,7.726967,-9.456365
DA           ,20.398,20.199,20.518,20.719,20.446,7.798971,13.822081
DA_auto      ,19.116,18.922,19.221,19.439,19.776,7.894383,-0.351525
DA_auto      ,19.779,19.594,19.953,20.274,20.748,7.974721,0.238844
DA           ,18.299,18.334,18.602,18.859,19.244,8.009833,15.943575
DA_auto      ,18.763,19.011,19.492,19.756,20.154,8.049972,0.811971
DB           ,18.632,18.648,18.92,19.154,19.406,8.12548,0.194046
DA           ,20.144,19.767,19.949,20.137,20.177,8.133627,15.524069
DA           ,20.144,19.767,19.949,20.137,20.177,8.133627,15.524069
DA           ,20.128,20.212,20.521,20.846,20.738,8.179454,14.343291
DA           ,20.128,20.212,20.521,20.846,20.738,8.179454,14.343291
DA+M         ,20.305,20.256,20.44,20.162,20.057,8.238009,0.108728
DA+M         ,20.753,20.717,20.306,19.323,18.656,8.256373,0.954691
DA           ,20.064,20.228,20.619,20.881,21.327,8.27587,15.607644
DA           ,20.064,20.228,20.619,20.881,21.327,8.27587,15.607644
DA           ,20.696,20.292,20.422,20.564,20.669,8.412823,15.42584
DA           ,20.696,20.292,20.422,20.564,20.669,8.412823,15.42584
DO           ,17.251,17.557,18.012,18.328,18.532,8.429375,14.380958
DA_auto      ,20.793,20.265,20.069,20.009,20.147,8.467708,0.382553
DA           ,20.525,19.994,20.049,20.132,20.297,8.601889,15.031229
DA           ,20.525,19.994,20.049,20.132,20.297,8.601889,15.031229
DA_auto      ,19.934,19.665,19.938,20.195,20.479,8.604677,1.066625
DA           ,17.561,16.988,16.817,16.743,16.792,8.612204,15.300487
DA           ,17.561,16.988,16.817,16.743,16.792,8.612204,15.300487
DA           ,17.561,16.988,16.817,16.743,16.792,8.612204,15.300487
DB           ,18.47,18.581,18.834,19.109,19.381,8.65275,0.528171
DA           ,19.48,19.718,20.129,20.417,21.074,8.689021,15.415761
DA           ,19.48,19.718,20.129,20.417,21.074,8.689021,15.415761
DA           ,19.294,18.933,18.954,19.108,19.281,8.735535,-10.48763
DA           ,16.408,16.366,16.835,17.105,17.422,8.784466,13.845926
DA           ,16.408,16.366,16.835,17.105,17.422,8.784466,13.845926
DA           ,16.921,16.504,16.551,16.611,16.804,8.798467,0.197325
DA           ,16.921,16.504,16.551,16.611,16.804,8.798467,0.197325
DA           ,16.921,16.504,16.551,16.611,16.804,8.798467,0.197325
DA           ,16.921,16.504,16.551,16.611,16.804,8.798467,0.197325
DA           ,20.751,20.324,20.396,20.542,20.835,8.80099,13.998398
DA           ,20.751,20.324,20.396,20.542,20.835,8.80099,13.998398
DA_auto      ,19.561,19.954,20.366,20.659,20.916,8.803149,0.627259
DA_auto      ,19.831,19.375,19.43,19.584,19.779,8.996063,1.16154
DZ           ,17.559,17.056,17.05,17.081,17.238,9.00573,-11.203865
DA           ,19.56,19.427,19.681,19.946,20.283,9.007585,14.809693
DA           ,19.56,19.427,19.681,19.946,20.283,9.007585,14.809693
DA+M         ,19.337,19.338,19.287,18.635,17.953,9.116917,-0.523592
DA+M         ,19.337,19.338,19.287,18.635,17.953,9.116917,-0.523592
DA           ,19.643,19.466,19.738,19.981,20.408,9.243192,15.064402
DA           ,19.643,19.466,19.738,19.981,20.408,9.243192,15.064402
DA           ,17.85,17.493,17.55,17.65,17.861,9.329691,0.527501
DA           ,17.85,17.493,17.55,17.65,17.861,9.329691,0.527501
DA           ,19.396,18.987,18.968,18.989,19.164,9.355585,15.45902
DA           ,19.396,18.987,18.968,18.989,19.164,9.355585,15.45902
DA_auto      ,20.486,19.978,19.971,20.048,20.073,9.377419,-0.282742
DA+M         ,21.386,20.724,20.182,19.099,18.378,9.379469,1.163088
DA_auto      ,18.847,18.781,19.06,19.343,19.621,9.408426,-0.877662
DA_auto      ,20.006,19.55,19.416,19.405,19.45,9.497381,-1.119562
DA           ,17.519,17.537,17.9,18.185,18.557,9.504962,15.477161
DA           ,17.519,17.537,17.9,18.185,18.557,9.504962,15.477161
DA_auto      ,19.819,19.52,19.718,19.969,20.19,9.547867,-0.775008
DA_auto      ,19.305,18.918,19.023,19.319,19.613,9.556415,-0.024683
DB           ,19.408,19.534,19.794,20.078,20.044,9.568023,0.873902
DA_auto      ,19.014,18.614,18.555,18.63,18.588,9.721519,-0.490735
DA           ,19.37,19.343,19.683,19.915,20.028,9.725965,15.938313
DA           ,19.37,19.343,19.683,19.915,20.028,9.725965,15.938313
DB           ,19.889,19.818,20.039,20.153,20.4,9.732022,14.070045
DA           ,18.904,18.614,18.861,19.047,19.28,9.753498,15.835833
DA           ,18.904,18.614,18.861,19.047,19.28,9.753498,15.835833
DA_auto      ,19.246,18.776,18.942,19.125,19.098,9.760315,-0.500102
DA_auto      ,19.545,19.103,19.109,19.201,19.165,9.846007,0.592976
DA           ,19.327,18.812,18.801,18.843,19.012,9.95116,-9.105373
DA           ,19.642,19.323,19.378,19.448,19.776,9.954032,14.706803
DA           ,19.642,19.323,19.378,19.448,19.776,9.954032,14.706803
DA           ,19.642,19.323,19.378,19.448,19.776,9.954032,14.706803
DA_auto      ,19.96,19.428,19.21,19.167,19.159,10.005942,0.985795
DA           ,20.325,19.93,19.998,20.215,20.133,10.017466,16.180444
DA           ,20.325,19.93,19.998,20.215,20.133,10.017466,16.180444
DA_auto      ,19.077,18.857,19.071,19.371,19.475,10.092577,-1.052134
DA           ,15.217,14.769,14.954,15.124,15.291,10.095354,-0.358355
DA           ,20.271,19.87,20.054,20.242,20.272,10.214064,14.726412
DA           ,20.271,19.87,20.054,20.242,20.272,10.214064,14.726412
DA           ,20.271,19.87,20.054,20.242,20.272,10.214064,14.726412
DA           ,18.967,18.978,19.247,19.581,19.751,10.258236,15.993526
DA           ,18.967,18.978,19.247,19.581,19.751,10.258236,15.993526
DA           ,18.967,18.978,19.247,19.581,19.751,10.258236,15.993526
DA           ,17.494,17.423,17.833,18.133,18.459,10.26298,14.380169
DA           ,17.494,17.423,17.833,18.133,18.459,10.26298,14.380169
DC           ,19.203,19.153,19.263,19.374,19.496,10.269539,15.673795
DA_auto      ,20.426,19.928,19.886,19.983,20.041,10.281459,0.064615
DA           ,19.806,19.262,19.147,19.059,19.087,10.343728,-11.075707
DZ           ,19.805,19.443,19.445,19.425,19.569,10.348269,15.185827
DA+M:        ,19.675,19.79,19.654,19.344,19.053,10.4112,15.184712
DA+M:        ,19.675,19.79,19.654,19.344,19.053,10.4112,15.184712
DA+M:        ,19.675,19.79,19.654,19.344,19.053,10.4112,15.184712
DA_auto      ,20.296,20.077,20.297,20.417,20.669,10.450234,-0.85763
DA           ,20.415,19.937,20.193,20.387,20.693,10.503511,14.467851
DA           ,20.415,19.937,20.193,20.387,20.693,10.503511,14.467851
DA           ,20.415,19.937,20.193,20.387,20.693,10.503511,14.467851
DA           ,19.259,18.745,18.969,19.213,19.306,10.626042,-10.255396
DA           ,18.181,18.35,18.746,19.053,19.369,10.661107,-10.442518
DA           ,19.971,19.511,19.779,20.108,19.895,10.700797,0.332043
DA           ,18.389,18.334,18.714,19.001,19.334,10.72808,-9.185647
DA_auto      ,18.473,18.529,18.888,19.178,19.398,10.808504,-0.912629
DA           ,19.225,18.742,18.852,19.048,19.287,10.940785,0.930553
DB           ,19.968,19.871,20.083,20.264,20.149,10.992502,14.771994
DB           ,19.968,19.871,20.083,20.264,20.149,10.992502,14.771994
DB           ,19.968,19.871,20.083,20.264,20.149,10.992502,14.771994
DC           ,20.335,20.204,20.193,20.25,20.396,10.99554,14.551571
DA           ,19.672,19.226,19.198,19.242,19.394,11.115198,13.659989
DA           ,19.672,19.226,19.198,19.242,19.394,11.115198,13.659989
DA           ,19.672,19.226,19.198,19.242,19.394,11.115198,13.659989
DA_auto      ,19.422,18.935,19.178,19.402,19.504,11.122615,-0.864747
DA           ,20.26,19.996,20.197,20.362,20.133,11.259953,14.4747
DA           ,20.26,19.996,20.197,20.362,20.133,11.259953,14.4747
DA           ,20.26,19.996,20.197,20.362,20.133,11.259953,14.4747
DA:          ,19.659,19.203,19.05,19.035,19.129,11.307862,14.380039
DA:          ,19.659,19.203,19.05,19.035,19.129,11.307862,14.380039
DA:          ,19.659,19.203,19.05,19.035,19.129,11.307862,14.380039
DA           ,19.345,19.265,19.583,19.839,20.196,11.370303,0.771234
DA           ,18.748,19.071,19.515,19.841,20.168,11.406084,1.11674
DA_B:        ,19.591,19.108,19.096,19.173,19.429,11.417506,-0.40467
DA_auto      ,19.752,19.271,19.339,19.432,19.605,11.451013,0.08553
DA           ,18.87,18.336,18.079,18.015,18.003,11.491786,14.913855
DA           ,18.87,18.336,18.079,18.015,18.003,11.491786,14.913855
DA           ,18.87,18.336,18.079,18.015,18.003,11.491786,14.913855
DA           ,18.444,18.04,18.172,18.285,18.582,11.543187,13.652866
DA           ,18.444,18.04,18.172,18.285,18.582,11.543187,13.652866
DA           ,18.444,18.04,18.172,18.285,18.582,11.543187,13.652866
DA_auto      ,19.434,18.967,19.233,19.493,19.725,11.549045,-0.128315
DA_auto      ,19.651,19.315,19.562,19.737,19.983,11.668522,0.670907
DA_auto      ,19.867,19.434,19.451,19.528,19.709,11.695625,-0.619849
DC           ,18.999,19.009,19.281,19.449,19.617,11.774303,-0.805468
DC           ,18.999,19.009,19.281,19.449,19.617,11.774303,-0.805468
DA_auto      ,19.083,18.874,19.139,19.365,19.503,11.921062,0.700488
DA_auto      ,20.055,19.695,19.734,19.916,19.804,11.966581,-0.269805
DA_auto      ,19.917,19.45,19.453,19.457,19.479,12.020137,14.025048
DA_auto      ,19.917,19.45,19.453,19.457,19.479,12.020137,14.025048
DA_auto      ,19.917,19.45,19.453,19.457,19.479,12.020137,14.025048
DA+M         ,19.725,19.434,19.531,19.205,18.675,12.065416,0.342872
DA           ,20.47,20.108,20.288,20.627,20.886,12.080348,16.066249
DA           ,20.47,20.108,20.288,20.627,20.886,12.080348,16.066249
DA           ,20.47,20.108,20.288,20.627,20.886,12.080348,16.066249
DA           ,19.354,18.956,18.963,19.093,19.352,12.081559,-0.347085
DC:          ,18.264,18.101,18.232,18.376,18.535,12.126346,0.298012
DA_auto      ,19.472,19.277,19.514,19.723,19.821,12.208803,-0.359827
DA           ,19.077,18.676,18.785,18.953,19.222,12.229869,15.363539
DB           ,18.59,18.687,19.026,19.255,19.511,12.252022,-9.700837
DA           ,19.345,18.841,18.623,18.626,18.702,12.317366,-9.773501
DA_auto      ,20.583,20.124,20.059,20.017,20.131,12.387073,0.886022
DA           ,19.61,19.664,20.005,20.234,20.679,12.428325,14.881216
DA:          ,20.34,20.494,20.899,21.103,20.821,12.516691,15.034913
DA           ,19.089,19.468,19.854,19.967,20.036,12.549107,13.936839
DA_auto      ,18.763,18.639,18.914,19.241,19.559,12.556366,-0.025105
DA_auto      ,20.455,20.083,19.968,20.011,20.433,12.58281,0.990547
DA_auto      ,19.907,19.547,19.766,19.836,20.09,12.635646,0.302319
DA           ,19.099,18.798,18.91,19.072,19.426,12.698356,-0.388036
DA           ,19.099,18.798,18.91,19.072,19.426,12.698356,-0.388036
DA           ,19.099,18.798,18.91,19.072,19.426,12.698356,-0.388036
DA_auto      ,20.224,19.834,20.048,20.182,20.22,12.722514,-0.055227
DA           ,20.341,20.22,20.393,20.76,21.524,12.759146,13.824131
DA           ,19.14,18.761,18.805,18.879,19.133,12.938961,15.640654
DA           ,17.126,17.088,17.49,17.754,17.957,12.956877,0.997413
DA           ,18.868,18.37,18.454,18.567,18.683,12.986873,1.014493
DA           ,18.868,18.37,18.454,18.567,18.683,12.986873,1.014493
DA           ,18.868,18.37,18.454,18.567,18.683,12.986873,1.014493
DA+M         ,19.046,18.325,17.714,16.635,15.919,13.035096,-0.859638
DA+M         ,19.046,18.325,17.714,16.635,15.919,13.035096,-0.859638
DA+M         ,19.046,18.325,17.714,16.635,15.919,13.035096,-0.859638
DA+M         ,19.046,18.325,17.714,16.635,15.919,13.035096,-0.859638
DB:          ,20.239,20.318,20.449,20.562,22.174,13.133562,13.821388
DA+M         ,20.471,19.859,19.146,17.972,17.224,13.187979,-0.893674
DA+M         ,20.471,19.859,19.146,17.972,17.224,13.187979,-0.893674
DA+M         ,20.471,19.859,19.146,17.972,17.224,13.187979,-0.893674
DA+M         ,20.471,19.859,19.146,17.972,17.224,13.187979,-0.893674
DA_auto      ,19.545,19.13,19.299,19.541,19.981,13.356938,-0.97094
DA           ,19.119,18.714,18.936,19.078,19.31,13.452814,14.208064
DA+M         ,18.659,18.435,18.41,17.476,16.864,13.577264,0.962842
DA           ,19.205,18.854,19.083,19.315,19.543,13.610157,15.296451
DA           ,18.991,18.552,18.378,18.343,18.393,13.650207,-0.828318
DA           ,18.991,18.552,18.378,18.343,18.393,13.650207,-0.828318
DA           ,18.991,18.552,18.378,18.343,18.393,13.650207,-0.828318
DA           ,17.216,16.852,16.762,16.842,16.969,13.66185,-9.872194
DA+M         ,18.843,18.552,18.718,18.459,18.028,13.740047,-0.421431
DA+M         ,18.843,18.552,18.718,18.459,18.028,13.740047,-0.421431
DA+M         ,18.843,18.552,18.718,18.459,18.028,13.740047,-0.421431
DA           ,18.794,18.994,19.448,19.559,20.06,13.793901,1.144002
DA           ,18.794,18.994,19.448,19.559,20.06,13.793901,1.144002
DA+M         ,20.416,20.03,19.542,18.717,18.231,13.832925,0.677548
DA+M         ,18.072,18.468,18.918,19.102,19.023,13.917172,-10.11202
DA_auto      ,18.602,18.285,18.588,18.8,19.142,13.94708,0.066329
DA_auto      ,18.602,18.285,18.588,18.8,19.142,13.94708,0.066329
DA           ,15.489,15.854,16.25,16.568,16.861,13.9491,-8.752012
DA_auto      ,20.786,20.35,20.233,20.274,20.273,13.966219,-1.072855
DA           ,18.145,18.178,18.477,18.761,19.118,13.985603,-9.596179
DA_auto      ,20.167,20.181,20.448,20.859,21.425,14.00876,-0.37893
DA_auto      ,20.106,19.665,19.642,19.682,19.829,14.047935,0.965793
DA           ,18.904,18.469,18.659,18.819,19.062,14.084377,14.120665
DB           ,18.838,19.05,19.302,19.653,19.737,14.136213,-0.30422
DC           ,18.685,18.38,18.439,18.5,18.593,14.26525,13.793362
DA           ,19.396,18.85,18.913,18.954,19.143,14.265558,15.170711
DA_auto      ,19.234,18.737,18.963,19.136,19.504,14.676956,-0.949205
DZ           ,19.206,19.071,19.244,19.409,19.672,14.778286,0.290361
DA_auto      ,20.437,20.078,20.036,20.098,20.287,14.979294,-0.577507
DA+M         ,21.044,20.51,19.885,19.075,18.557,15.043864,0.627549
DA           ,17.868,17.995,18.374,18.638,18.957,15.086197,13.913587
DA_auto      ,20.691,20.317,20.122,20.128,20.023,15.168016,-0.578913
DA+M         ,19.337,18.857,19.005,18.769,18.293,15.191426,15.116434
DA_auto      ,19.303,18.866,19.051,19.234,19.375,15.355698,0.346937
DA:          ,        ,        ,        ,        ,        ,15.40908,46.96561
DA           ,18.505,18.181,18.246,18.383,18.641,15.530207,-0.549941
DA_auto      ,        ,        ,        ,        ,        ,15.56248,46.43915
